item_id_A,selected_item_id_B,best_candidate_item_id_B,best_candidate_name_A,best_candidate_name_B,final_verdict,manual_review_required,match_confidence,nonmatch_confidence,raw_match_evidence_score,raw_nonmatch_evidence_score,hard_veto,hard_veto_rules,functional_identity_similarity,identity_anchor_count,strong_support_count,positive_evidence_count,conflict_count,pair_support_score,runner_up_item_id_B,runner_up_support_score,runner_up_margin,retrieval_rank_of_best,candidate_count,modifier_asymmetry_count,same_brand,private_label_pair,brand_policy,quantity_similarity,educated_guess,educated_guess_item_id_B,decision_reason,_row_key_A,gpt_reviewed,final_safety_blocker,semantic_soft_resolved,gpt_reviewer_lean,gpt_reviewer_confidence,gpt_reason,gpt_choice,gpt_match_type,gpt_blocker,gpt_evidence
363636,,1090224,"Great Value Low Sodium Club Soda Sparkling Water, 33.8 fl oz Bottle",Wegmans Club Soda,REVIEW,True,0.496708,0.025192,0.781218,0,False,,0.92,2,3,5,0,0.496708,101142,0,0.496708,1,3,0,False,True,PRIVATE,1.0,MATCH,1090224,RECALL_RESCUE_REVIEW,9,True,,,UNCERTAIN,,V17_STRUCTURED_EVIDENCE,0,NONE,VARIANT,INSUFFICIENT
2788360,,107236,"Metamucil GLP-1 Friendly Psyllium Fiber Powder, Sugar-Free, Orange, 130 tsp","Metamucil Smooth 4 in 1 Fiber Supplement Powder, Sugar-Free, Orange",REVIEW,True,0.126517,0.025192,0.488905,0,False,,0.613333,2,4,6,0,0.126517,113683,0.126517,0.0,1,3,1,True,False,SAME,-1.0,MATCH,107236,NARROW_DECISION_BAND,22,True,,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,MODEL,CLEAR
373667,,112226,"Suave Men Body & Face Wash, Energizing Sport, Bergamot & Wood, 30 oz","Suave Men Body + Face Wash, Bergamot & Wood, Energizing Sport",REVIEW,True,0.553447,0.025192,0.815915,0,False,,1.0,3,3,5,0,0.553447,2685342,0.226355,0.327092,1,3,0,True,False,SAME,-1.0,MATCH,112226,V17_FINAL_IDENTITY_CATALOG_REVIEW,25,False,B_METADATA_OZ_SIZE,,,,,,,,
283870,,1857099,"Mahatma Jasmine Thai Fragrant Long Grain Rice, Gluten Free, 80 oz (5 lbs) 2.27kg",Carolina White Jasmine Thai Fragrant Long Grain Rice,REVIEW,True,0.267888,0.025192,0.630076,0,False,,0.788571,2,3,4,0,0.267888,96735,0,0.267888,1,3,1,False,False,UNKNOWN,1.0,MATCH,1857099,NARROW_DECISION_BAND,29,False,,,,,,,,,
1919554,,2034269,Native Limited Edition Holiday Gumdrop Deodorant 2.65 oz,Native Limited Edition Holiday Gumdrop Body Wash,REVIEW,True,0.228198,0.025192,0.597607,0,False,,0.736,3,3,5,0,0.228198,1864046,0.030436,0.197762,1,3,0,True,False,SAME,-1.0,MATCH,2034269,NARROW_DECISION_BAND,93,True,,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,ROLE,CLEAR
957758,,89064,"Fresh Red Cabbage, Each",Red Cabbage,REVIEW,True,0.251826,0.198588,0.617352,0.272058,False,,0.92,2,2,6,1,0.207032,104704,0.042887,0.164145,1,3,0,False,False,UNKNOWN,-1.0,MATCH,89064,NARROW_DECISION_BAND,142,False,,,,,,,,,
957858,,1083932,"Sweet Mini Peppers, Each","Pero Family Farms Peppers, Mini, Sweet",REVIEW,True,0.121117,0.025192,0.481322,0,False,,1.0,2,1,3,0,0.121117,88694,0.094982,0.026135,1,3,0,False,False,UNKNOWN,-1.0,MATCH,1083932,NARROW_DECISION_BAND,189,False,,,,,,,,,
957944,,1087884,"Marketside Seasonal Fresh Cut Fruit Blend, 32 oz Tray",Wegmans Fresh Cut Fruit,REVIEW,True,0.394012,0.559843,0.717649,0.468909,False,,0.92,2,2,5,2,0.177909,1087869,0.058904,0.119005,1,3,0,False,True,PRIVATE,-1.0,MATCH,1087884,NARROW_DECISION_BAND,211,False,,,,,,,,,
365402,,95859,"KIND Gluten Free Dark Chocolate Cherry Cashew Snack Bars, 1.4 oz, 6 Count Box",Kind Dark Chocolate Cherry Cashew Bar,REVIEW,True,0.352393,0.025192,0.690525,0,False,,0.736,3,4,7,0,0.352393,953767,0.246769,0.105624,3,3,0,True,False,SAME,-1.0,MATCH,95859,NARROW_DECISION_BAND,294,True,,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,QUANTITY,CLEAR
2236129,,99254,"PUR Water Pitcher & Dispenser Replacement Filter 3-Pack, CRF950Z3A","Pur Pitcher Filter, PPF900Z, 3 Pack",REVIEW,True,0.154256,0.491802,0.524018,0.436015,False,,0.613333,3,4,6,1,0.080418,1953532,0.0277,0.052719,1,3,0,True,False,SAME,1.0,NON_MATCH,99254,NARROW_DECISION_BAND,332,False,,,,,,,,,
2243376,,115703,Nordic Ware Procast 12 Cup Nonstick Cast Aluminum Bundt Cake Pan,"Nordic Ware Proform Bundt Pan, 12 Cup",REVIEW,True,0.111777,0.025192,0.467487,0,False,,0.69,3,2,5,0,0.111777,1085226,0,0.111777,1,3,0,True,False,SAME,-1.0,MATCH,115703,NARROW_DECISION_BAND,436,True,,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,MODEL,CLEAR
2214583,,110277,"(1 pack) GE LED Light Bulbs, 60 Watt, Soft White, CA11 Bulbs, Small Base, 13yr, 4pk","GE Relax Light Bulbs, LED, Soft White, 9 Watt",REVIEW,True,0.212187,0.071711,0.583398,0.131784,False,,0.788571,3,2,6,1,0.202061,950904,0.17787,0.024191,1,3,2,True,False,SAME,-1.0,MATCH,110277,NARROW_DECISION_BAND,521,True,,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,QUANTITY,CLEAR
1921383,,952563,"Grill Mates Seasoning Mix, Brazilian Steakhouse Marinade, 1.06 oz Packet",McCormick GRILL MATES Brazilian Steakhouse Marinade,REVIEW,True,0.463259,0.025192,0.760796,0,False,,0.92,2,3,4,0,0.463259,953197,0.050591,0.412668,1,3,0,False,False,UNKNOWN,1.0,MATCH,952563,NARROW_DECISION_BAND,737,False,,,,,,,,,
2216996,,106215,"Gorilla Glue Clear 4"" Dual Temp Mini Hot Glue Sticks, 75 Count","Gorilla Glue, Clear",REVIEW,True,0.302539,0.025192,0.655992,0,False,,0.92,2,2,4,0,0.302539,2129113,0.215327,0.087212,1,3,0,True,False,SAME,-1.0,MATCH,106215,V17_FINAL_SAFETY_REVIEW,771,True,ONE_SIDED_EXPLICIT_COUNT,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,FORM,CLEAR
2243149,,114282,"(2 pack) Ball Regular Mouth 8 oz Quilted Crystal Mason Jars with Lids & Bands, Small Glass Canning Jars for Jam and Jelly, 12-Pack","Ball Lids, with Bands, Regular Mouth",REVIEW,True,0.333747,0.025192,0.67792,0,False,,0.92,3,2,5,0,0.333747,113283,0.093936,0.239811,2,3,2,True,False,SAME,-1.0,MATCH,114282,NARROW_DECISION_BAND,996,True,,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,ROLE,CLEAR
2232223,,1892989,Gorilla Glue Super Glue Tape 20 Foot Roll Adhesive Tape off-White Color,Gorilla Super Glue,REVIEW,True,0.215327,0.025192,0.586244,0,False,,0.92,2,2,3,0,0.215327,106578,0.215327,0.0,1,3,0,True,False,SAME,-1.0,MATCH,1892989,NARROW_DECISION_BAND,1138,True,,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,FORM,CLEAR
1948659,,112860,"Afrin Original Nasal Spray, 12 Hour Congestion Relief 15 mL","Afrin Severe Congestion, Nasal Spray",REVIEW,True,0.339058,0.025192,0.681544,0,False,,0.69,2,6,7,0,0.339058,107421,0,0.339058,1,3,1,True,False,SAME,0.9,MATCH,112860,NARROW_DECISION_BAND,1266,True,,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,VARIANT,CLEAR
2234260,,108856,"(3 pack) Command Indoor Outdoor Light Clips, Clear, Hang Lights, 12 Hooks, 16 Strips","Command Hooks & Strips, Large, Clear",REVIEW,True,0.113621,0.025192,0.470296,0,False,,0.69,3,2,5,0,0.113621,114895,0.076139,0.037482,1,3,2,True,False,SAME,-1.0,MATCH,108856,NARROW_DECISION_BAND,1285,True,,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,QUANTITY,CLEAR
2220005,,106505,"Energizer Ultimate Lithium AAA Batteries (2 Pack), Triple A Batteries","Energizer Batteries, Lithium, 2016",REVIEW,True,0.4741,0.025192,0.767428,0,False,,0.92,3,3,5,0,0.4741,106966,0.4741,0.0,2,3,2,True,False,SAME,-1.0,MATCH,106505,NARROW_DECISION_BAND,1290,True,,,NON_MATCH,,V17_STRUCTURED_EVIDENCE,0,NONE,MODEL,CLEAR
